Airline,Departure_Airport,Arrival_Airport,Scheduled_Dep_Hour,Scheduled_Arr_Hour,Day_of_Week,Month,Holiday_Season,Weather_Condition,Temperature,Wind_Speed,Visibility,Rain_mm,Departure_Traffic,Arrival_Traffic,Delay
Vistara,HYD,GOI,17,14,3,11,0,Fog,25,25,4,9,Medium,Medium,56.05
Vistara,BOM,MAA,4,9,5,1,1,Fog,27,16,9,8,Low,Low,90.23
SpiceJet,CCU,HYD,20,15,6,12,1,Thunderstorm,11,16,4,5,Medium,Medium,52.18
Vistara,BOM,BOM,6,11,0,6,1,Fog,23,13,5,0,High,Low,82.03
Vistara,GOI,BLR,1,19,0,8,0,Storm,31,9,8,4,Medium,Low,53.98
Air India,MAA,GOI,10,4,0,1,1,Fog,32,29,2,9,Medium,Medium,66.31
SpiceJet,CCU,HYD,12,1,6,10,0,Storm,36,7,3,12,High,Low,72.94
GoAir,HYD,CCU,22,9,0,12,1,Clear,26,7,6,3,High,Low,52.84
SpiceJet,MAA,DEL,4,0,2,9,1,Thunderstorm,12,13,7,0,Low,High,99.96
GoAir,DEL,DEL,5,6,5,3,0,Storm,11,6,4,1,High,Medium,75.44
Air India,HYD,BLR,23,16,1,3,1,Fog,17,5,1,3,High,High,59.27
IndiGo,BLR,BOM,13,15,1,4,1,Thunderstorm,34,3,7,16,High,Low,90.97
Vistara,DEL,HYD,11,23,3,11,1,Thunderstorm,38,0,9,9,Medium,Low,103.21
Air India,DEL,GOI,3,2,2,1,0,Storm,11,14,1,11,Low,High,76.28
Vistara,BLR,BOM,22,13,0,9,1,Storm,11,24,1,1,High,High,73.81
IndiGo,CCU,DEL,5,9,0,11,1,Rain,35,14,1,2,High,High,43.37
IndiGo,DEL,BOM,9,21,4,3,1,Rain,18,0,7,13,High,Low,32.17
Air India,GOI,DEL,17,6,4,10,1,Thunderstorm,39,19,9,14,Medium,Medium,99.79
IndiGo,HYD,BOM,14,16,3,4,1,Rain,29,2,3,12,Medium,Low,58.76
GoAir,MAA,BLR,7,5,0,1,0,Fog,30,22,8,8,Low,High,93.46
IndiGo,DEL,MAA,8,22,3,4,0,Clear,38,4,9,1,Low,Medium,24.64
Vistara,HYD,BLR,4,21,2,1,1,Thunderstorm,36,4,3,18,Medium,High,96.57
Vistara,BOM,BLR,9,3,1,5,1,Clear,34,3,3,15,High,Low,53.37
Vistara,HYD,MAA,19,16,0,5,0,Rain,15,16,1,10,High,Medium,33.01
Vistara,MAA,MAA,5,8,5,11,1,Storm,35,20,2,11,Low,Medium,88.01
GoAir,HYD,HYD,15,3,6,7,1,Thunderstorm,21,19,7,0,High,Low,86.06
SpiceJet,BLR,GOI,23,6,2,8,1,Rain,34,13,3,1,Medium,High,49.2
Air India,MAA,GOI,2,22,0,4,1,Fog,18,25,7,15,Low,High,88.11
Vistara,CCU,HYD,9,1,6,7,1,Thunderstorm,16,28,5,1,Medium,High,94.7
IndiGo,BOM,BLR,10,16,5,4,1,Thunderstorm,39,7,8,18,Medium,Low,92.98
Vistara,BLR,BLR,10,23,4,3,1,Storm,21,1,5,9,High,High,78.54
IndiGo,CCU,DEL,16,7,3,6,1,Thunderstorm,35,7,3,18,Medium,Medium,83.18
IndiGo,HYD,DEL,3,22,4,4,0,Storm,34,0,9,9,Medium,High,65.63
Vistara,MAA,GOI,3,14,1,3,0,Rain,14,28,7,15,High,High,43.51
GoAir,BOM,HYD,16,14,4,9,1,Fog,25,3,5,12,Medium,Medium,95.59
IndiGo,BLR,CCU,8,7,0,5,1,Fog,14,18,7,15,High,Medium,132.14
IndiGo,CCU,CCU,18,15,5,7,1,Thunderstorm,21,4,9,17,Medium,High,89.84
Vistara,CCU,HYD,4,18,4,12,1,Thunderstorm,33,28,5,7,High,Medium,75.2
IndiGo,BOM,DEL,21,10,0,6,0,Rain,35,4,7,17,High,Low,40.15
IndiGo,GOI,GOI,23,1,1,10,0,Storm,29,20,9,12,Low,Medium,58.58
Vistara,HYD,GOI,5,22,6,5,0,Fog,18,27,1,6,Medium,Low,49.74
Vistara,BOM,DEL,2,23,5,7,0,Storm,32,19,4,17,Medium,Medium,51.94
Air India,CCU,CCU,21,16,4,11,1,Rain,16,23,1,5,Low,Low,45.06
GoAir,DEL,BOM,0,15,3,6,1,Fog,38,18,8,8,High,Low,102.9
GoAir,BLR,BOM,19,14,3,10,1,Fog,28,11,3,5,High,High,89.56
IndiGo,BOM,DEL,21,12,5,2,0,Clear,29,19,2,17,Low,Medium,27.25
GoAir,GOI,BOM,15,14,3,3,1,Rain,32,0,4,16,Low,Medium,42.72
IndiGo,CCU,MAA,22,3,4,2,1,Rain,20,6,3,11,High,Medium,57.55
Air India,HYD,HYD,10,15,4,12,0,Clear,36,16,5,2,High,Low,21.06
Vistara,CCU,HYD,12,11,5,3,0,Storm,39,1,8,4,Low,High,81.12
Vistara,HYD,DEL,9,3,4,1,0,Clear,30,10,8,6,Medium,Medium,33.0
Vistara,BOM,BLR,2,2,6,8,0,Rain,21,6,7,9,High,High,37.38
GoAir,HYD,CCU,8,21,0,6,0,Storm,12,16,8,9,Low,High,86.68
Air India,MAA,DEL,11,16,1,2,1,Fog,26,26,5,18,Medium,Low,119.32
GoAir,MAA,BOM,22,21,6,8,1,Clear,16,2,6,3,Medium,Medium,31.71
GoAir,MAA,CCU,13,17,6,6,0,Storm,31,28,8,9,Medium,High,98.31
Air India,GOI,BLR,0,17,3,7,1,Storm,19,21,1,17,Medium,Medium,64.15
Air India,GOI,BOM,17,22,0,11,1,Storm,32,5,6,2,Low,Medium,66.75
Air India,DEL,GOI,16,16,5,1,1,Clear,24,21,6,2,High,Medium,50.76
Air India,GOI,MAA,8,11,3,7,1,Fog,39,10,5,4,Medium,High,100.4
Vistara,BOM,BOM,8,22,0,3,0,Storm,11,28,4,15,Medium,Low,64.81
SpiceJet,CCU,MAA,22,20,4,11,1,Clear,22,17,1,19,Low,Low,53.26
SpiceJet,CCU,CCU,9,23,5,12,1,Rain,37,17,8,12,Medium,High,49.67
Air India,DEL,MAA,18,3,5,8,1,Clear,13,21,6,10,Low,Medium,36.89
SpiceJet,GOI,CCU,14,11,3,6,0,Clear,27,9,3,12,Low,Medium,18.33
SpiceJet,HYD,CCU,4,22,4,4,1,Clear,33,4,3,18,High,Low,79.73
Air India,DEL,CCU,14,21,3,11,0,Storm,32,29,6,5,Medium,High,78.13
SpiceJet,HYD,CCU,19,20,2,8,0,Clear,10,22,7,12,High,High,39.93
GoAir,HYD,CCU,22,19,0,9,0,Rain,11,22,8,3,Low,Low,17.07
IndiGo,BLR,BOM,1,14,2,10,0,Storm,11,20,5,4,Medium,High,68.89
IndiGo,CCU,CCU,12,22,0,2,1,Rain,13,23,6,18,Low,High,56.58
Air India,MAA,BOM,23,15,1,6,0,Thunderstorm,12,25,1,4,Low,Low,50.79
Vistara,GOI,CCU,15,4,6,5,0,Clear,26,21,6,13,Low,Low,15.68
Air India,HYD,MAA,14,20,5,5,0,Storm,37,14,9,3,Medium,High,63.94
Vistara,BLR,GOI,9,14,3,10,0,Storm,23,20,4,11,Low,High,51.96
IndiGo,CCU,CCU,13,16,1,11,0,Clear,11,19,1,5,Low,Low,13.24
Air India,MAA,BLR,9,17,1,3,1,Fog,25,22,9,18,Medium,Low,65.9
GoAir,HYD,CCU,13,4,5,12,0,Fog,20,3,4,9,High,Medium,71.92
SpiceJet,HYD,CCU,22,12,5,8,1,Rain,34,20,2,0,Low,High,55.23
Vistara,DEL,MAA,8,18,0,8,1,Clear,22,20,1,15,High,High,31.11
SpiceJet,DEL,HYD,13,12,2,12,0,Clear,10,0,3,3,High,Low,9.12
SpiceJet,CCU,MAA,2,17,4,5,1,Thunderstorm,34,14,7,8,High,Low,118.01
Air India,MAA,BLR,19,13,0,8,1,Fog,32,16,2,17,High,Medium,99.95
SpiceJet,HYD,HYD,15,3,4,10,1,Fog,11,18,9,16,High,Medium,107.35
GoAir,CCU,DEL,1,3,1,8,0,Clear,11,13,2,14,High,Low,25.53
SpiceJet,CCU,DEL,9,19,4,3,0,Rain,30,26,5,18,Medium,High,28.21
Air India,BOM,BLR,2,19,2,2,0,Clear,38,18,8,6,Medium,Medium,37.24
GoAir,GOI,MAA,10,18,0,9,0,Rain,14,17,8,17,High,Low,54.32
IndiGo,DEL,BOM,10,12,5,2,0,Fog,13,27,3,5,Medium,Low,26.32
SpiceJet,MAA,BLR,20,11,2,9,0,Thunderstorm,21,1,2,18,Medium,Low,59.34
Air India,HYD,GOI,20,6,6,4,0,Storm,35,5,9,11,High,High,53.1
IndiGo,CCU,HYD,21,11,2,12,1,Fog,35,12,3,2,High,Low,91.83
IndiGo,HYD,HYD,12,20,6,2,1,Rain,38,16,8,0,Low,Low,28.82
Vistara,BOM,CCU,6,3,0,10,0,Clear,37,5,2,4,Medium,High,22.42
GoAir,MAA,DEL,22,1,5,1,1,Fog,12,20,3,0,High,Low,115.82
SpiceJet,CCU,HYD,16,1,2,4,0,Thunderstorm,29,21,1,7,Medium,Low,57.37
Air India,HYD,BLR,1,4,6,9,0,Rain,19,4,6,6,Medium,Medium,15.24
Vistara,DEL,HYD,11,22,5,12,0,Clear,29,6,7,14,Medium,Low,21.58
GoAir,GOI,BLR,9,9,3,9,1,Storm,27,0,4,10,Low,High,88.78
Vistara,BOM,BOM,17,9,3,4,0,Rain,30,12,1,17,High,Medium,36.73
GoAir,MAA,CCU,21,8,3,9,0,Clear,30,18,3,13,Medium,Low,18.73
GoAir,BOM,DEL,10,12,4,12,0,Storm,30,21,9,8,High,High,65.8
SpiceJet,DEL,HYD,15,6,2,6,0,Clear,36,0,5,4,Medium,Low,33.24
GoAir,MAA,BLR,16,4,0,1,1,Storm,36,12,6,3,High,Medium,76.11
Vistara,BOM,MAA,18,9,0,10,0,Storm,19,10,4,11,High,High,105.6
GoAir,BLR,DEL,17,9,4,6,1,Storm,10,26,1,0,High,Medium,86.45
SpiceJet,DEL,BOM,2,5,0,9,1,Clear,15,6,5,12,Medium,High,61.69
SpiceJet,DEL,BLR,20,18,6,2,0,Storm,20,19,5,0,Low,High,75.36
Vistara,DEL,GOI,15,20,3,6,0,Rain,11,2,5,2,High,Low,33.37
IndiGo,BLR,GOI,5,7,2,2,1,Thunderstorm,16,25,6,7,Low,High,83.7
IndiGo,BLR,CCU,11,0,0,4,1,Thunderstorm,29,24,2,17,High,High,68.81
GoAir,HYD,CCU,10,16,0,8,1,Storm,30,0,1,15,Low,Low,76.54
Air India,CCU,BOM,14,6,1,7,1,Thunderstorm,30,7,2,19,High,High,113.83
GoAir,GOI,BOM,14,13,1,11,0,Thunderstorm,30,16,6,19,Low,High,90.87
Vistara,BOM,CCU,15,20,1,12,1,Storm,27,12,5,15,High,High,117.0
Vistara,HYD,HYD,9,20,2,9,1,Storm,30,13,5,1,High,High,88.12
Vistara,BOM,HYD,11,16,3,7,1,Rain,28,4,6,16,Low,Low,59.97
Vistara,GOI,BLR,12,8,5,1,1,Fog,13,25,7,9,High,Low,78.03
Vistara,CCU,MAA,3,16,3,2,0,Clear,22,23,9,6,Medium,Medium,17.06
SpiceJet,BLR,BLR,6,4,3,6,0,Storm,27,21,7,9,High,High,82.79
IndiGo,CCU,MAA,21,19,2,7,0,Storm,29,22,2,18,High,Low,79.94
Vistara,BLR,BOM,1,7,6,3,1,Thunderstorm,38,26,6,19,Medium,High,121.82
Air India,GOI,DEL,14,5,6,9,1,Rain,34,23,9,8,Medium,Low,47.94
Air India,CCU,BLR,7,10,2,7,0,Thunderstorm,33,28,7,16,Medium,Medium,53.46
Air India,HYD,BLR,6,18,1,6,0,Storm,22,5,2,8,Low,High,65.39
Air India,MAA,MAA,14,3,0,6,1,Storm,39,26,3,8,Medium,Medium,84.92
SpiceJet,HYD,BOM,22,17,4,1,0,Thunderstorm,36,21,8,4,Low,Medium,76.51
Air India,BOM,BOM,13,0,4,5,1,Storm,37,26,9,6,Medium,Medium,91.23
Vistara,HYD,GOI,7,12,5,10,1,Fog,28,5,4,10,Low,Low,76.03
GoAir,GOI,MAA,11,13,0,3,1,Clear,26,20,9,7,Medium,High,68.39
Air India,DEL,BOM,12,23,5,7,1,Clear,10,7,2,13,Medium,Low,26.69
SpiceJet,BOM,CCU,10,0,1,10,1,Clear,15,12,5,1,High,Low,50.44
SpiceJet,CCU,HYD,16,10,5,3,1,Fog,28,17,2,9,Medium,High,119.24
Air India,BOM,GOI,16,16,0,5,0,Storm,29,22,1,15,High,High,66.3
GoAir,MAA,CCU,23,3,0,7,0,Thunderstorm,10,3,5,15,Medium,High,64.75
Air India,BLR,DEL,3,11,4,3,0,Rain,17,16,2,18,Medium,High,43.13
SpiceJet,CCU,BLR,20,9,6,10,1,Storm,26,28,7,10,High,Low,110.37
IndiGo,BOM,GOI,7,5,1,2,0,Fog,30,4,8,5,High,High,53.76
Vistara,CCU,DEL,4,0,2,6,1,Fog,31,2,2,5,Low,High,74.97
SpiceJet,CCU,BLR,15,6,5,8,1,Clear,24,3,7,6,High,High,49.06
Air India,CCU,HYD,3,20,4,4,1,Storm,27,22,4,15,Low,Medium,53.95
Vistara,BLR,BOM,21,15,5,9,1,Clear,16,4,1,12,Medium,High,53.23
Air India,GOI,CCU,14,23,5,12,0,Rain,25,13,3,2,High,High,19.31
Air India,HYD,MAA,11,13,2,12,0,Clear,16,14,1,8,High,Low,19.1
IndiGo,CCU,CCU,4,22,1,8,0,Rain,26,19,5,2,Medium,Medium,5.84
Vistara,DEL,HYD,22,19,0,7,1,Fog,13,16,8,5,Medium,Low,71.74
Vistara,GOI,DEL,15,19,3,7,0,Clear,21,5,1,16,Medium,Medium,42.04
IndiGo,MAA,MAA,13,5,5,3,0,Clear,22,26,9,2,Medium,Low,3.32
SpiceJet,BLR,BOM,9,21,3,6,0,Thunderstorm,13,9,3,1,High,Low,63.64
Air India,BOM,HYD,6,4,1,5,1,Fog,30,21,5,11,Medium,High,67.57
GoAir,BLR,MAA,12,23,3,1,0,Thunderstorm,10,22,9,5,Medium,High,51.79
Air India,BOM,HYD,19,20,5,11,1,Rain,10,15,5,9,High,Medium,59.77
Air India,BLR,HYD,4,17,2,3,0,Rain,16,16,9,10,Low,Medium,12.82
SpiceJet,BOM,BOM,2,14,3,12,1,Fog,18,13,8,15,High,Medium,86.01
Air India,CCU,GOI,14,5,1,1,0,Rain,10,19,7,15,Low,High,51.09
IndiGo,HYD,BLR,3,18,1,4,0,Fog,25,11,1,17,Medium,Low,61.44
IndiGo,BOM,MAA,14,0,6,10,0,Rain,27,8,4,8,High,Medium,46.12
Vistara,BOM,BOM,13,0,6,3,1,Storm,31,14,9,18,Medium,High,89.09
GoAir,DEL,HYD,19,12,2,11,0,Clear,24,11,8,1,High,High,31.77
Air India,BOM,BOM,18,2,3,4,0,Storm,15,13,4,0,Low,Low,72.38
Air India,DEL,GOI,12,9,3,9,1,Fog,11,25,1,15,High,Low,72.01
SpiceJet,MAA,BLR,9,20,6,3,1,Fog,18,21,4,17,Medium,High,86.93
IndiGo,CCU,CCU,20,2,0,12,1,Storm,13,17,3,2,High,Low,103.61
GoAir,DEL,MAA,4,8,4,6,1,Clear,22,19,6,0,Medium,Low,32.26
Vistara,HYD,BLR,22,7,1,6,0,Clear,32,5,5,5,High,High,25.13
IndiGo,GOI,DEL,19,2,0,7,0,Thunderstorm,31,3,5,18,Low,Medium,49.14
Vistara,CCU,MAA,19,12,1,9,1,Rain,20,25,2,18,High,Medium,60.94
SpiceJet,DEL,BLR,5,5,0,12,0,Thunderstorm,22,22,3,10,High,High,84.25
SpiceJet,CCU,HYD,3,12,6,7,1,Clear,20,11,6,7,High,Medium,51.65
Air India,CCU,MAA,1,22,6,1,0,Storm,28,12,2,4,High,High,60.96
GoAir,CCU,MAA,21,19,4,8,1,Rain,17,18,4,19,Low,High,46.8
Vistara,MAA,BOM,15,19,0,5,0,Storm,16,21,2,8,Medium,Low,55.62
IndiGo,HYD,HYD,17,11,1,9,1,Thunderstorm,34,12,9,14,High,Medium,88.33
SpiceJet,BLR,DEL,4,12,3,10,1,Fog,25,11,3,13,High,High,65.2
Air India,BLR,CCU,21,1,1,12,0,Storm,12,19,6,3,High,Medium,78.76
Air India,DEL,GOI,3,20,5,5,0,Thunderstorm,26,2,1,7,Low,Medium,55.37
Vistara,CCU,BLR,12,23,6,5,0,Thunderstorm,27,27,3,19,Medium,Medium,63.44
SpiceJet,DEL,BOM,18,22,2,12,1,Thunderstorm,37,2,8,16,Medium,High,89.41
GoAir,MAA,BLR,22,15,2,12,0,Fog,36,13,5,1,High,Low,60.4
SpiceJet,MAA,DEL,1,22,6,2,1,Fog,24,17,8,19,High,Medium,118.2
Vistara,BOM,DEL,12,5,5,12,0,Fog,37,26,2,15,Medium,High,53.86
Vistara,MAA,MAA,10,18,2,11,0,Rain,26,18,7,9,High,Medium,31.13
SpiceJet,BOM,GOI,21,20,6,3,1,Fog,20,28,9,1,High,Low,81.43
Vistara,HYD,DEL,3,12,2,10,1,Fog,14,27,7,10,High,Medium,87.29
SpiceJet,DEL,BLR,21,16,6,9,0,Fog,25,29,3,9,Low,High,56.47
IndiGo,GOI,HYD,19,22,4,7,1,Storm,24,9,7,18,Low,Medium,88.53
SpiceJet,HYD,HYD,19,8,3,1,1,Fog,19,16,8,13,Medium,Medium,65.52
SpiceJet,MAA,MAA,14,16,3,3,0,Rain,23,14,1,10,Low,Medium,21.14
Vistara,HYD,CCU,3,1,1,12,1,Thunderstorm,11,18,3,8,Low,Low,71.99
Vistara,HYD,BLR,8,18,5,2,0,Storm,25,8,5,6,Medium,Medium,78.12
Air India,HYD,BLR,6,18,6,1,0,Clear,28,3,6,14,Low,High,0.0
Air India,MAA,DEL,18,23,0,9,1,Fog,17,14,3,19,Medium,Medium,83.85
IndiGo,GOI,GOI,18,6,1,8,0,Thunderstorm,24,18,4,16,High,Medium,54.87
Air India,CCU,BLR,5,21,1,5,1,Thunderstorm,19,15,5,2,Medium,Medium,83.26
SpiceJet,HYD,BOM,5,9,6,11,0,Storm,39,7,3,14,Medium,Low,39.37
Vistara,BOM,CCU,19,9,6,12,1,Clear,14,16,4,13,Medium,High,61.71
Air India,MAA,DEL,14,19,1,2,1,Rain,29,20,5,7,High,Medium,43.67
Air India,HYD,BOM,14,8,1,1,1,Thunderstorm,25,0,2,3,High,High,98.67
IndiGo,GOI,MAA,19,16,3,7,1,Thunderstorm,30,6,9,9,High,High,94.56
IndiGo,CCU,HYD,8,14,0,11,1,Thunderstorm,35,20,8,1,Medium,Low,75.08
SpiceJet,MAA,MAA,3,1,1,11,0,Thunderstorm,31,17,6,13,Medium,High,80.01
Vistara,BLR,HYD,17,3,3,2,0,Storm,21,11,3,7,Medium,Medium,51.56
IndiGo,CCU,MAA,17,18,1,1,1,Clear,32,15,2,9,Medium,Low,36.81
Air India,BOM,BLR,4,16,2,2,0,Thunderstorm,39,29,7,17,Medium,Low,56.18
Vistara,HYD,BOM,19,4,1,7,1,Rain,22,0,8,14,Medium,High,48.55
Vistara,GOI,HYD,22,6,6,7,1,Rain,18,26,1,4,Medium,Low,29.98
Air India,BLR,DEL,10,17,5,10,0,Fog,26,14,6,12,Low,High,99.9
IndiGo,GOI,BOM,4,20,5,6,0,Thunderstorm,29,6,7,17,High,High,86.43
Air India,BLR,DEL,21,21,1,5,1,Thunderstorm,37,27,9,1,Low,Low,89.16
Vistara,MAA,BOM,3,6,4,3,1,Thunderstorm,21,16,3,12,High,Medium,102.34
GoAir,BLR,BOM,11,16,2,12,1,Thunderstorm,34,2,2,13,Medium,High,97.2
GoAir,BOM,MAA,1,6,0,3,1,Thunderstorm,14,10,5,9,Low,Low,97.79
SpiceJet,BOM,HYD,12,3,1,11,1,Rain,33,5,1,3,Medium,Low,38.82
Air India,DEL,HYD,9,7,0,12,1,Clear,21,5,6,14,Low,High,51.58
Air India,BOM,GOI,8,12,2,9,0,Clear,10,14,9,7,Low,High,41.7
SpiceJet,CCU,BOM,9,3,1,4,1,Fog,29,6,9,14,Medium,High,103.41
SpiceJet,BLR,BLR,6,5,4,9,1,Rain,37,10,7,13,Low,High,58.61
SpiceJet,BOM,BLR,3,4,3,4,0,Thunderstorm,25,29,7,8,Low,Medium,34.33
Vistara,MAA,DEL,18,11,4,2,1,Clear,39,26,8,19,High,Medium,71.64
Air India,GOI,DEL,9,3,6,4,1,Storm,21,16,2,2,Medium,Medium,86.7
Vistara,GOI,MAA,2,23,4,6,0,Storm,18,22,6,14,Medium,Medium,56.43
SpiceJet,DEL,BOM,20,8,3,6,1,Storm,22,17,5,16,Low,Low,78.61
Air India,GOI,DEL,18,3,6,5,0,Thunderstorm,26,21,5,15,Medium,High,75.97
Vistara,BLR,DEL,20,18,3,1,1,Thunderstorm,26,28,3,3,High,Low,101.44
Vistara,DEL,CCU,1,23,5,3,0,Fog,13,23,3,10,High,Low,69.96
SpiceJet,BLR,BOM,19,13,3,5,0,Fog,23,28,6,7,Medium,Medium,43.11
Air India,MAA,MAA,9,4,1,6,0,Fog,28,20,7,2,Medium,Low,46.55
SpiceJet,DEL,DEL,1,17,0,1,1,Storm,16,25,1,18,High,Medium,111.54
Air India,HYD,MAA,1,9,5,9,1,Thunderstorm,36,18,3,13,Medium,High,75.86
GoAir,CCU,HYD,23,18,5,3,0,Storm,12,26,1,8,Low,Medium,63.79
IndiGo,CCU,MAA,16,11,0,10,0,Fog,10,7,3,2,Medium,High,50.49
IndiGo,BLR,BLR,15,17,5,3,1,Thunderstorm,21,23,5,3,Low,Medium,66.5
IndiGo,GOI,BLR,15,16,3,11,1,Rain,24,19,9,3,High,Low,68.02
SpiceJet,HYD,MAA,13,23,4,2,1,Clear,20,7,3,10,Medium,Low,44.11
GoAir,DEL,BLR,6,10,2,8,1,Clear,19,20,9,18,High,Medium,51.74
Air India,HYD,HYD,20,2,3,3,1,Fog,11,28,1,15,Medium,High,86.07
Vistara,HYD,BOM,10,22,6,6,0,Storm,35,10,6,16,Low,High,94.59
Air India,GOI,BLR,23,16,6,2,1,Rain,38,20,9,9,Medium,Medium,35.02
Vistara,DEL,BLR,0,0,4,7,0,Thunderstorm,13,2,5,16,High,Low,79.08
Air India,MAA,MAA,10,14,4,4,1,Storm,26,22,2,15,Low,High,75.87
GoAir,GOI,HYD,22,8,5,9,0,Fog,26,26,5,19,Medium,Medium,65.38
Vistara,HYD,GOI,20,14,1,10,0,Storm,37,13,1,5,High,High,76.46
SpiceJet,HYD,GOI,3,23,1,9,1,Fog,39,26,9,6,High,Low,65.94
Air India,MAA,GOI,6,2,5,7,0,Clear,17,8,9,13,Medium,High,36.99
Air India,HYD,GOI,14,21,5,12,0,Clear,32,24,6,10,High,Medium,40.2
Vistara,HYD,BOM,17,18,0,8,0,Storm,23,0,9,11,Low,High,100.42
SpiceJet,HYD,MAA,11,12,0,3,0,Rain,33,0,3,13,Medium,High,41.74
SpiceJet,CCU,MAA,16,11,2,11,1,Thunderstorm,38,25,4,4,Low,Low,103.61
GoAir,GOI,CCU,0,19,2,5,0,Fog,13,27,6,4,High,Low,45.5
SpiceJet,BOM,HYD,10,0,2,2,1,Thunderstorm,15,11,4,19,High,Low,128.99
SpiceJet,GOI,GOI,0,20,2,10,0,Clear,38,10,1,14,High,Low,31.76
SpiceJet,MAA,BOM,14,16,4,7,1,Rain,28,20,7,0,Low,Medium,19.21
IndiGo,HYD,HYD,20,12,4,8,1,Rain,36,0,5,8,High,High,57.12
GoAir,GOI,GOI,9,0,0,9,1,Thunderstorm,38,19,8,2,Medium,High,100.36
Air India,CCU,BOM,6,9,1,11,0,Clear,33,11,9,3,Medium,High,8.71
Vistara,MAA,HYD,1,14,5,11,1,Thunderstorm,13,16,5,15,High,High,84.44
Air India,BLR,MAA,9,6,6,7,1,Storm,12,14,8,6,Medium,Medium,95.13
GoAir,GOI,MAA,23,21,1,10,0,Rain,29,1,1,13,Low,Low,26.04
Vistara,BLR,DEL,3,17,3,10,1,Rain,15,17,1,15,Low,High,54.97
GoAir,HYD,BLR,11,15,4,8,0,Storm,36,15,7,17,High,High,67.73
SpiceJet,CCU,GOI,18,13,2,12,0,Clear,32,3,6,15,Medium,Low,35.42
Vistara,CCU,CCU,10,17,2,9,1,Rain,16,7,5,15,Medium,Low,38.03
SpiceJet,GOI,HYD,7,6,3,6,0,Fog,23,1,5,1,High,High,63.17
Air India,MAA,CCU,17,16,1,12,0,Fog,21,13,9,9,Low,Low,37.56
Air India,MAA,DEL,10,17,2,12,0,Clear,25,24,1,6,High,High,43.29
Vistara,CCU,BLR,10,11,1,10,1,Storm,29,14,8,14,Medium,High,101.13
Vistara,MAA,HYD,12,7,5,2,0,Thunderstorm,17,27,2,8,Medium,High,70.69
GoAir,CCU,BOM,2,21,3,2,0,Clear,32,8,7,6,High,High,20.79
GoAir,GOI,GOI,11,1,6,4,0,Thunderstorm,11,1,6,15,Low,High,48.5
SpiceJet,BOM,BLR,2,6,1,9,1,Clear,22,16,2,2,Low,High,29.23
